cell_swc_name,nm_swc_name,R1_background_s,R1_NM_total_s,R1_NM_additional_s,x,y,z,inside_cell,inside_nm,expected_R1_s
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,1.0,0.0,41.5,41.5,41.5,true,true,1.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,1.0,0.0,41.5,41.5,41.5,true,true,1.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,10.0,9.0,41.5,41.5,41.5,true,true,10.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,10.0,9.0,41.5,41.5,41.5,true,true,10.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,20.0,19.0,41.5,41.5,41.5,true,true,20.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,20.0,19.0,41.5,41.5,41.5,true,true,20.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,30.0,29.0,41.5,41.5,41.5,true,true,30.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,30.0,29.0,41.5,41.5,41.5,true,true,30.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,40.0,39.0,41.5,41.5,41.5,true,true,40.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,40.0,39.0,41.5,41.5,41.5,true,true,40.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,50.0,49.0,41.5,41.5,41.5,true,true,50.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,50.0,49.0,41.5,41.5,41.5,true,true,50.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,60.0,59.0,41.5,41.5,41.5,true,true,60.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,60.0,59.0,41.5,41.5,41.5,true,true,60.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,70.0,69.0,41.5,41.5,41.5,true,true,70.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,70.0,69.0,41.5,41.5,41.5,true,true,70.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,80.0,79.0,41.5,41.5,41.5,true,true,80.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,80.0,79.0,41.5,41.5,41.5,true,true,80.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,90.0,89.0,41.5,41.5,41.5,true,true,90.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,90.0,89.0,41.5,41.5,41.5,true,true,90.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,100.0,99.0,41.5,41.5,41.5,true,true,100.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,100.0,99.0,41.5,41.5,41.5,true,true,100.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,200.0,199.0,41.5,41.5,41.5,true,true,200.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,200.0,199.0,41.5,41.5,41.5,true,true,200.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,300.0,299.0,41.5,41.5,41.5,true,true,300.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,300.0,299.0,41.5,41.5,41.5,true,true,300.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,400.0,399.0,41.5,41.5,41.5,true,true,400.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,400.0,399.0,41.5,41.5,41.5,true,true,400.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,500.0,499.0,41.5,41.5,41.5,true,true,500.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,500.0,499.0,41.5,41.5,41.5,true,true,500.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,600.0,599.0,41.5,41.5,41.5,true,true,600.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,600.0,599.0,41.5,41.5,41.5,true,true,600.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,700.0,699.0,41.5,41.5,41.5,true,true,700.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,700.0,699.0,41.5,41.5,41.5,true,true,700.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,800.0,799.0,41.5,41.5,41.5,true,true,800.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,800.0,799.0,41.5,41.5,41.5,true,true,800.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,900.0,899.0,41.5,41.5,41.5,true,true,900.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,900.0,899.0,41.5,41.5,41.5,true,true,900.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,1000.0,999.0,41.5,41.5,41.5,true,true,1000.0
cell_sphere_r19_neurons_list_new,neuromelanin_sphere_r15_neurons_list_new,1.0,1000.0,999.0,41.5,41.5,41.5,true,true,1000.0
