geometry_mode,repeat_id,TE,b,n_inside_spins,n_outside_spins,inside_signal,inside_ln_S_over_S0,outside_signal,outside_ln_S_over_S0
overlapping,1,40,0.0,8236,91764,8236.0,0.0,91764.0,0.0
overlapping,1,40,0.1,8236,91764,7493.780215448182,-0.09444141729348818,83016.3835969506,-0.10018208279852824
overlapping,1,40,0.2,8236,91764,6819.847351469777,-0.18867770004310114,75102.23982545797,-0.20036968095140117
overlapping,1,40,0.3,8236,91764,6207.842596549524,-0.2827013615433217,67943.26612365425,-0.300547028625017
overlapping,1,40,0.4,8236,91764,5651.997808554885,-0.37650571207248007,61468.363311892484,-0.4006974390885962
overlapping,1,40,0.5,8236,91764,5147.082373593671,-0.47008476442760155,55612.98957239882,-0.5008032644768597
overlapping,1,40,0.6,8236,91764,4688.354612258786,-0.5634330972049154,50318.570775613065,-0.6008458545716601
overlapping,1,40,0.7,8236,91764,4271.5173629366545,-0.6565456707306839,45531.96237963673,-0.7008055146275384
overlapping,1,40,0.8,8236,91764,3892.677400072815,-0.7494175906359434,41204.958521728244,-0.800661462267253
overlapping,1,40,0.9,8236,91764,3548.308371635637,-0.8420438142798014,37293.844281939586,-0.9003917834754809
overlapping,1,40,1.0,8236,91764,3235.2169645878557,-0.934418795582848,33758.98743131054,-0.99997338772052
overlapping,1,80,0.0,8236,91764,8236.0,0.0,91764.0,0.0
overlapping,1,80,0.1,8236,91764,7490.232072830265,-0.09491500775990949,82991.16245583374,-0.10048593815824665
overlapping,1,80,0.2,8236,91764,6811.343727064295,-0.18992537171898205,75052.58159969671,-0.20103110796520388
overlapping,1,80,0.3,8236,91764,6193.3081611182615,-0.2850454088612369,67869.9566351884,-0.30162659207394477
overlapping,1,80,0.4,8236,91764,5630.646718000311,-0.38029048362870194,61372.225307528046,-0.4022626875960011
overlapping,1,80,0.5,8236,91764,5118.378473737961,-0.4756771046235943,55494.905291546806,-0.5029288438599668
overlapping,1,80,0.6,8236,91764,4651.974496106115,-0.5712230368745154,50179.4944727094,-0.6036135972409679
overlapping,1,80,0.7,8236,91764,4227.316341330275,-0.66694743211989,45372.92496629121,-0.7043045030811987
overlapping,1,80,0.8,8236,91764,3840.658395605571,-0.7628709800740606,41027.06615889587,-0.8049880647321127
overlapping,1,80,0.9,8236,91764,3488.5937041788557,-0.8590160842494294,37098.27245955896,-0.9056496597532288
overlapping,1,80,1.0,8236,91764,3168.0229636057898,-0.9554070666266959,33546.97181713476,-1.0062734633097012
overlapping,1,120,0.0,8236,91764,8236.0,0.0,91764.0,0.0
overlapping,1,120,0.1,8236,91764,7472.835159533164,-0.09724032259888321,83003.2844462191,-0.10033988519523322
overlapping,1,120,0.2,8236,91764,6779.00825407824,-0.19468397312219984,75079.2612886762,-0.20067569116957867
overlapping,1,120,0.3,8236,91764,6148.262981444371,-0.2923451892829477,67912.64328889623,-0.3009978420700715
overlapping,1,120,0.4,8236,91764,5574.899110337058,-0.3902405687836373,61431.56016971283,-0.4012963514757998
overlapping,1,120,0.5,8236,91764,5053.725010043789,-0.48838919203919906,55570.87760093177,-0.501560783972295
overlapping,1,120,0.6,8236,91764,4580.013966254726,-0.5868127416435036,50271.57709872425,-0.6017802140750663
overlapping,1,120,0.7,8236,91764,4149.464004359927,-0.6855356188401569,45480.19157861498,-0.7019431826060232
overlapping,1,120,0.8,8236,91764,3758.1609610803353,-0.7845850575107982,41148.291736691914,-0.8020376506703073
overlapping,1,120,0.9,8236,91764,3402.5445634554644,-0.8839912364395057,37232.0188341684,-0.9020509514305791
overlapping,1,120,1.0,8236,91764,3079.3772911094625,-0.983787390832043,33691.65982944107,-1.0019697399265983
overlapping,2,40,0.0,8014,91986,8014.0,0.0,91986.0,0.0
overlapping,2,40,0.1,8014,91986,7273.613003685425,-0.09693686974725302,83201.27245169065,-0.10037374995564705
overlapping,2,40,0.2,8014,91986,6601.484849916103,-0.19389541122514609,75263.34407352633,-0.2006431737677233
overlapping,2,40,0.3,8014,91986,5991.572022606073,-0.29083619334862637,68089.77626039402,-0.3008093180061815
overlapping,2,40,0.4,8014,91986,5438.341652883422,-0.3877158410402002,61606.216018986284,-0.400873616708781
overlapping,2,40,0.5,8014,91986,4936.7306506374625,-0.4844867117199475,55745.60531058811,-0.5008378128329047
overlapping,2,40,0.6,8014,91986,4482.10788578007,-0.581096566223518,50447.46622836152,-0.6007038694399643
overlapping,2,40,0.7,8014,91986,4070.2392140079082,-0.6774882395461104,45657.25499110136,-0.7004738707222391
overlapping,2,40,0.8,8014,91986,3697.2551544468315,-0.7735993180202673,41325.778354514245,-0.8001499130716871
overlapping,2,40,0.9,8014,91986,3359.621038334458,-0.8693618308096656,37408.66660841698,-0.8997339864827754
overlapping,2,40,1.0,8014,91986,3054.1094588797882,-0.9647019649072736,33865.89784804754,-0.9992278466749586
overlapping,2,80,0.0,8014,91986,8014.0,0.0,91986.0,0.0
overlapping,2,80,0.1,8014,91986,7269.994263151473,-0.09743450978142586,83225.30318211866,-0.10008496518069747
overlapping,2,80,0.2,8014,91986,6594.516503379549,-0.19495154133573095,75306.20793830746,-0.2000738174089332
overlapping,2,80,0.3,8014,91986,5981.36324670615,-0.29254150255548106,68147.42946305657,-0.29996295293581804
overlapping,2,80,0.4,8014,91986,5424.876750302543,-0.39019483188374726,61675.54772479291,-0.39974884835682856
overlapping,2,80,0.5,8014,91986,4919.898750148868,-0.4879020611595264,55824.25225444599,-0.4994279883767135
overlapping,2,80,0.6,8014,91986,4461.7279777238355,-0.5856538822655377,50533.6579448876,-0.5989967833253466
overlapping,2,80,0.7,8014,91986,4046.081151112591,-0.6834412165482869,45749.68542891262,-0.6984514757292432
overlapping,2,80,0.8,8014,91986,3669.0571676258205,-0.7812552857068603,41423.50015429258,-0.7977880351926894
overlapping,2,80,0.9,8014,91986,3327.104245284192,-0.8790876825503028,37511.004781487914,-0.8970020407915391
overlapping,2,80,1.0,8014,91986,3016.9897794272383,-0.9769304397036094,33972.37999567201,-0.9960885501462392
overlapping,2,120,0.0,8014,91986,8014.0,0.0,91986.0,0.0
overlapping,2,120,0.1,8014,91986,7258.738258030049,-0.098983992140889,83222.47466941702,-0.10011895196908745
overlapping,2,120,0.2,8014,91986,6572.870839478532,-0.19823931328859123,75293.39091199674,-0.20024403069554905
overlapping,2,120,0.3,8014,91986,5950.105957340065,-0.2977809848586606,68119.19656678301,-0.30037733021219337
overlapping,2,120,0.4,8014,91986,5384.718456352657,-0.39762498591526935,61627.981902949476,-0.4005203724866973
overlapping,2,120,0.5,8014,91986,4871.499635125895,-0.4977881892304411,55754.73843398004,-0.5006739904964771
overlapping,2,120,0.6,8014,91986,4405.711427167093,-0.5982882614015318,50440.68986210324,-0.6008382036677085
overlapping,2,120,0.7,8014,91986,3983.0445795192604,-0.6991435156293627,45632.68819440056,-0.7010120854792341
overlapping,2,120,0.8,8014,91986,3599.5804966969786,-0.8003727022371682,41282.66872797981,-0.8011936230546328
overlapping,2,120,0.9,8014,91986,3251.7564444533373,-0.9019947174126299,37347.1581984772,-0.9013795685890195
overlapping,2,120,1.0,8014,91986,2936.333832769182,-1.004028204666151,33786.830928765135,-1.0015652824801706
overlapping,3,40,0.0,8106,91894,8106.0,0.0,91894.0,0.0
overlapping,3,40,0.1,8106,91894,7366.003788964834,-0.09572919579770704,83094.81278782473,-0.10065346028605922
overlapping,3,40,0.2,8106,91894,6694.738866707188,-0.19128255404962707,75131.6746622279,-0.20139350254733732
overlapping,3,40,0.3,8106,91894,6085.701647238683,-0.2866625007330792,67925.76211322623,-0.30222036370152666
overlapping,3,40,0.4,8106,91894,5533.00784576321,-0.3818729462967143,61405.59971637723,-0.40313470728631545
overlapping,3,40,0.5,8106,91894,5031.334685803695,-0.47691923420205345,55506.38585256248,-0.5041376643333749
overlapping,3,40,0.6,8106,91894,4575.868247552738,-0.571808066598902,50169.37910988945,-0.6052308761785192
overlapping,3,40,0.7,8106,91894,4162.255528737062,-0.6665474064592763,45341.34002389298,-0.7064165392264553
overlapping,3,40,0.8,8106,91894,3786.5608218548127,-0.7611463559468463,40974.02327162568,-0.8076974517057116
overlapping,3,40,0.9,8106,91894,3445.226042094564,-0.8556150113517971,37023.71585622884,-0.9090770624748125
overlapping,3,40,1.0,8106,91894,3135.034668698455,-0.9499642955863803,33450.817204396495,-1.0105595219728312
overlapping,3,80,0.0,8106,91894,8106.0,0.0,91894.0,0.0
overlapping,3,80,0.1,8106,91894,7365.149366366429,-0.09584519793146457,83128.04284819923,-0.10025363487468571
overlapping,3,80,0.2,8106,91894,6692.745316754124,-0.1915803769923815,75196.80903085218,-0.2005269419182395
overlapping,3,80,0.3,8106,91894,6082.666636818436,-0.2871613367992359,68021.29358659494,-0.30081494173631373
overlapping,3,80,0.4,8106,91894,5529.306067486813,-0.3825422056295443,61529.9440028009,-0.4011117882009907
overlapping,3,80,0.5,8106,91894,5027.530346799926,-0.4776756493985651,55657.9594198747,-0.5014106449662599
overlapping,3,80,0.6,8106,91894,4572.643115131277,-0.5725131283137991,50346.65522338159,-0.6017035524341245
overlapping,3,80,0.7,8106,91894,4160.35049500674,-0.6670052038746914,45542.887032196,-0.7019812847224465
overlapping,3,80,0.8,8106,91894,3786.7291684070155,-0.7611018979761501,41198.52862161852,-0.8022331962231118
overlapping,3,80,0.9,8106,91894,3448.1967854119125,-0.8547531046979925,37269.99880639544,-0.902447057408068
overlapping,3,80,1.0,8106,91894,3141.484548363496,-0.9479090539110661,33717.832753328206,-1.0026088796519548
overlapping,3,120,0.0,8106,91894,8106.0,0.0,91894.0,0.0
overlapping,3,120,0.1,8106,91894,7363.781739994817,-0.09603090405849662,83144.42831620498,-0.10005654310183773
overlapping,3,120,0.2,8106,91894,6688.110220548731,-0.1922731722143107,75229.189314405,-0.2000964274538632
overlapping,3,120,0.3,8106,91894,6073.330454091841,-0.2886973991218064,68068.99501285411,-0.3001139155469566
overlapping,3,120,0.4,8106,91894,5514.236967798284,-0.3852712408662989,61592.05472225962,-0.4001028584342451
overlapping,3,120,0.5,8106,91894,5006.040514494728,-0.481959242042163,55733.372691657634,-0.5000566207010827
overlapping,3,120,0.6,8106,91894,4544.337073674777,-0.578722669592429,50434.110510774204,-0.5999679968703635
overlapping,3,120,0.7,8106,91894,4125.078997531304,-0.6755193576861694,45641.008440680365,-0.6998291185784383
overlapping,3,120,0.8,8106,91894,3744.5481654022547,-0.7723035686085977,41305.860352086354,-0.7996313518278666
overlapping,3,120,0.9,8106,91894,3399.3310180467734,-0.8690258753416789,37385.037415675935,-0.8993651836014348
overlapping,3,120,1.0,8106,91894,3086.2953507508437,-0.9656330721853589,33839.05611494061,-0.9990200971088342
