TE,b,inside_signal,inside_ln_S_over_S0,outside_signal,outside_ln_S_over_S0
40.0,0.0,15672.0,0.0,84328.0,0.0
40.0,0.1,15024.019566489798,-0.0422254558282856,76677.55211184746,-0.09510496270901056
40.0,0.2,14401.469066789417,-0.08454546073677781,69742.44058449486,-0.18990492084173008
40.0,0.3,13803.43680359655,-0.1269580757464443,63454.8171456966,-0.2843858453323466
40.0,0.4,13229.040790393545,-0.16946120775957327,57753.30426622416,-0.37853339245664563
40.0,0.5,12677.427868254188,-0.21205260171667117,52582.37979657565,-0.47233287818516023
40.0,0.6,12147.772846730533,-0.2547298324539004,47891.819430342286,-0.5657692514565579
40.0,0.7,11639.277668212491,-0.29749029625999124,43636.191673457084,-0.6588270666736955
40.0,0.8,11151.170595170594,-0.3403312021328136,39774.40047374919,-0.7514904557842019
40.0,0.9,10682.705419702683,-0.3832495627378237,36269.27109971469,-0.8437431003663644
40.0,1.0,10233.16069482049,-0.42624218507248285,33087.175254225614,-0.9355682042048984
80.0,0.0,15672.0,0.0,84328.0,0.0
80.0,0.1,15245.277107057933,-0.027605923452957096,76647.04501290516,-0.09550290406893548
80.0,0.2,14828.742698822973,-0.05530830901550218,69682.67576164739,-0.19076222443342353
80.0,0.3,14422.184780595195,-0.08310804981848986,63366.92846766373,-0.28577186460968246
80.0,0.4,14025.395227464158,-0.11100604941918615,57638.40922219381,-0.3805247847070306
80.0,0.5,13638.169721723343,-0.1390032218548741,52441.64485143301,-0.4750129321985587
80.0,0.6,13260.307691190435,-0.16710049168990881,47726.499044553486,-0.5692271777860962
80.0,0.7,12891.612248423748,-0.1952987940554425,43447.64716237033,-0.6631572571709599
80.0,0.8,12531.890130823918,-0.22359907468106077,39564.10379549352,-0.7567917195954292
80.0,0.9,12180.951641605065,-0.2520022899179262,36038.797730935396,-0.8501178840662047
80.0,1.0,11838.610591628776,-0.28050940675227715,32838.18952022726,-0.9431218042103396
120.0,0.0,15672.0,0.0,84328.0,0.0
120.0,0.1,15371.970288783117,-0.019329940755514852,76591.38956282822,-0.09622929432054855
120.0,0.2,15076.857681085643,-0.03871471636167946,69577.41763634679,-0.19227390150869533
120.0,0.3,14786.592770917117,-0.05815480429893566,63218.20065628037,-0.2881217121920889
120.0,0.4,14501.10700758319,-0.07765068877930396,57452.25745234813,-0.3837596592204056
120.0,0.5,14220.332686371683,-0.09720286087473738,52223.90427377285,-0.47917363060594
120.0,0.6,13944.202939330376,-0.11681181864844309,47482.70691048858,-0.574348377242405
120.0,0.7,13672.651726135562,-0.13647806728926323,43182.98454812019,-0.6692674154933502
120.0,0.8,13405.613825047549,-0.15620211924941424,39283.360495846806,-0.7639129247877567
120.0,0.9,13143.024823956704,-0.17598449438536776,35746.355380538495,-0.8582656404073852
120.0,1.0,12884.821111515219,-0.19582572010225646,32538.01881223386,-0.9523047417041164
