TE,b,inside_signal,inside_ln_S_over_S0,outside_signal,outside_ln_S_over_S0
20.0,0.0,2723.0,0.0,7277.0,0.0
20.0,0.1,2424.2873478323518,-0.1161966096750726,6004.990937559363,-0.19212774298328983
20.0,0.2,2180.7647086971842,-0.2220586145948322,4956.930063134376,-0.3839320791340551
20.0,0.3,NaN,NaN,NaN,NaN
20.0,0.4,NaN,NaN,NaN,NaN
20.0,0.5,NaN,NaN,NaN,NaN
20.0,0.6,NaN,NaN,NaN,NaN
20.0,0.7,NaN,NaN,NaN,NaN
20.0,0.8,NaN,NaN,NaN,NaN
20.0,0.9,NaN,NaN,NaN,NaN
20.0,1.0,NaN,NaN,NaN,NaN
40.0,0.0,2723.0,0.0,7277.0,0.0
40.0,0.1,2487.1659484697034,-0.09059032473148057,5975.355256493368,-0.19707513616117978
40.0,0.2,2278.5728566555263,-0.17818490677090662,4902.0908770071055,-0.39505686566972986
40.0,0.3,2091.321699352197,-0.26393795555593963,4022.8463134690705,-0.5927289990984089
40.0,0.4,1921.2553134558564,-0.34875543220038974,3310.4878155430947,-0.78762313453779
40.0,0.5,1763.6629823994833,-0.43434132742150144,2696.625531544481,-0.9927175011416184
40.0,0.6,1625.3570492050576,-0.5160066994576664,2217.4460993065813,-1.1883625614231086
40.0,0.7,1503.8279844073743,-0.5937203667745233,1845.574631045148,-1.3719280072229185
40.0,0.8,1386.2298735953905,-0.6751464727112312,1524.372704250097,-1.5631357054050323
40.0,0.9,1275.1415685297757,-0.7586770071040665,1264.3447185884122,-1.750164710419508
40.0,1.0,1196.0610832535663,-0.8227004865128746,1037.3852153566938,-1.948015358163602
80.0,0.0,2723.0,0.0,7277.0,0.0
80.0,0.1,2569.5732539913347,-0.05799437760276972,5937.367363373327,-0.20345285905398633
80.0,0.2,2426.8561899170445,-0.11513754296026228,4860.162799734637,-0.4036467541258033
80.0,0.3,2295.117720175203,-0.17095007730062797,3962.5366415772196,-0.6078343031185709
80.0,0.4,2173.8499594035675,-0.22523444328803502,3252.936012635421,-0.805160712329902
80.0,0.5,2057.7431818193304,-0.28012437424195896,2666.4117647852677,-1.0039850291275914
80.0,0.6,1953.8357674700962,-0.3319397130045594,2189.401166345439,-1.2010906229529936
80.0,0.7,1847.8220362455252,-0.3877265458422844,1828.1345471203929,-1.3814226155840474
80.0,0.8,1756.32826593574,-0.4385087963507864,1481.6706931565636,-1.5915483915298958
80.0,0.9,1673.106127108757,-0.48705235848741296,1231.6249694172611,-1.776384278535658
80.0,1.0,1587.5405579732876,-0.5395482139036359,1023.1575493428552,-1.9618252070755815
