geometry_mode,TE,b,inside_signal,inside_ln_S_over_S0,outside_signal,outside_ln_S_over_S0
mesh,20,0.0,2612.0,0.0,7388.0,0.0
mesh,20,0.1,2460.883901926592,-0.05959561627993749,6707.017076797483,-0.09670275910701168
mesh,20,0.2,2329.402836759359,-0.11450426992162618,6079.29550071844,-0.19496824466491136
mesh,20,0.3,NaN,NaN,NaN,NaN
mesh,20,0.4,NaN,NaN,NaN,NaN
mesh,20,0.5,NaN,NaN,NaN,NaN
mesh,20,0.6,NaN,NaN,NaN,NaN
mesh,20,0.7,NaN,NaN,NaN,NaN
mesh,20,0.8,NaN,NaN,NaN,NaN
mesh,20,0.9,NaN,NaN,NaN,NaN
mesh,20,1.0,NaN,NaN,NaN,NaN
mesh,40,0.0,2612.0,0.0,7388.0,0.0
mesh,40,0.1,2494.355718985168,-0.046085744421176605,6695.274411757391,-0.0984550964673738
mesh,40,0.2,2386.7795564953644,-0.09017122002080463,6068.761539729741,-0.19670250778103707
mesh,40,0.3,2284.9093070830368,-0.13378987841017714,5508.564818808865,-0.2935529415557115
mesh,40,0.4,2191.2876739980384,-0.17562686138315742,4993.029033653929,-0.39181431596382155
mesh,40,0.5,2105.325359252717,-0.2156461912581121,4541.278205308243,-0.48664854689009873
mesh,40,0.6,2022.672535392465,-0.2556965371207526,4125.423051153011,-0.5826884899537711
mesh,40,0.7,1942.6522877250857,-0.2960620134281941,3751.2220370256814,-0.6777753989007195
mesh,40,0.8,1870.8339970874717,-0.33373189222335387,3413.1614621607127,-0.7722180855440941
mesh,40,0.9,1798.8720281976769,-0.3729563939411603,3105.1857541513004,-0.8667835245376303
mesh,40,1.0,1732.8780192481058,-0.4103325902046787,2826.724588696046,-0.9607384101272566
mesh,80,0.0,2612.0,0.0,7388.0,0.0
mesh,80,0.1,2536.2854133705314,-0.029415636467417065,6679.979164033776,-0.1007421939499241
mesh,80,0.2,2464.47458381331,-0.05813757722218093,6043.673043829114,-0.20084511538095334
mesh,80,0.3,2395.4243942342446,-0.08655579615158328,5464.722453372564,-0.3015437282062858
mesh,80,0.4,2329.9181492925954,-0.11428307351258714,4945.349791543858,-0.4014093633547462
mesh,80,0.5,2267.491122090468,-0.14144222370004525,4472.750043395343,-0.5018536206470369
mesh,80,0.6,2207.374273128295,-0.16831251395543928,4051.46699570795,-0.6007780256423368
mesh,80,0.7,2149.134025718672,-0.19505122914725703,3667.8403677743436,-0.7002540291258104
mesh,80,0.8,2091.2080547545447,-0.2223742957957634,3316.2978673359835,-0.8010080017954061
mesh,80,0.9,2036.9448575823717,-0.24866514494222353,3003.6270510441996,-0.9000364869266729
mesh,80,1.0,1981.412912372447,-0.2763060290862332,2717.5400796282156,-1.0001299737192926
