geometry_mode,TE,b,inside_signal,inside_ln_S_over_S0,outside_signal,outside_ln_S_over_S0
overlapping,40,0.0,832.0,0.0,9168.0,0.0
overlapping,40,0.1,759.5604277346395,-0.09109255942938957,8309.955015174291,-0.09826496445610607
overlapping,40,0.2,691.2620144256547,-0.18531350741143265,7537.368646532954,-0.19584602473322063
overlapping,40,0.3,630.4766211301054,-0.2773563659925202,6836.3207232660225,-0.29346947901649356
overlapping,40,0.4,576.3259743481707,-0.36715901251420313,6197.25876814826,-0.3916120998611048
overlapping,40,0.5,524.4714664179655,-0.461441415955681,5617.776722345132,-0.48978317534370974
overlapping,40,0.6,478.90790737357395,-0.5523241220750813,5092.516614068499,-0.5879470284006592
overlapping,40,0.7,437.7862608015001,-0.6421016385878335,4616.972982351217,-0.685979868240435
overlapping,40,0.8,406.1225032494521,-0.7171775945899562,4183.2467390746115,-0.7846314830997468
overlapping,40,0.9,372.9281447604032,-0.8024466811281504,3790.2894834822873,-0.8832767629288797
overlapping,40,1.0,344.98625799965953,-0.8803278564682043,3430.516578119864,-0.9830083042686105
overlapping,80,0.0,832.0,0.0,9168.0,0.0
overlapping,80,0.1,759.5889451715367,-0.09105501547563608,8289.67155396492,-0.10070881115590317
overlapping,80,0.2,692.9623521992335,-0.18285676893783867,7495.32598790677,-0.201439535313392
overlapping,80,0.3,632.3245124036172,-0.2744297094613813,6778.072674531851,-0.3020263647246383
overlapping,80,0.4,581.373234333584,-0.35843949033409156,6129.055124893857,-0.4026785614002691
overlapping,80,0.5,530.7269740574877,-0.4495847249613532,5542.329721301506,-0.5033042202992783
overlapping,80,0.6,485.85222194980156,-0.5379279332215263,5010.923080420842,-0.6040990142581223
overlapping,80,0.7,442.93622720470995,-0.6304066377873362,4529.559618892101,-0.7050944395756691
overlapping,80,0.8,408.8714213084733,-0.710431707532977,4094.0779124558653,-0.8061776420262748
overlapping,80,0.9,372.44620114538714,-0.8037398398874357,3698.967948403279,-0.9076653120951905
overlapping,80,1.0,341.2056006536589,-0.8913472107614417,3341.4900412003954,-1.0093023323458903
overlapping,120,0.0,832.0,0.0,9168.0,0.0
overlapping,120,0.1,755.457664393127,-0.09650869721971528,8286.966212668833,-0.10103521526247668
overlapping,120,0.2,686.0650543965422,-0.19285998610970415,7491.3671304179625,-0.20196785167373027
overlapping,120,0.3,625.7614000431063,-0.28486329246815295,6772.517949815331,-0.30284621460153943
overlapping,120,0.4,564.8758839810099,-0.38722640817661014,6122.769974849949,-0.4037045555756815
overlapping,120,0.5,515.1960267041882,-0.47928497820329535,5534.9667321276875,-0.5046336042855488
overlapping,120,0.6,468.77773118616335,-0.5737037054226487,5004.538610567603,-0.6053739371553413
overlapping,120,0.7,423.82769965814714,-0.6745054369101842,4523.985741638839,-0.7063257534390294
overlapping,120,0.8,383.33676578018816,-0.7749185539629246,4089.987405793916,-0.8071772691904056
overlapping,120,0.9,347.7341383737758,-0.8723942232109752,3697.3992898010656,-0.9080894821168276
overlapping,120,1.0,315.46644413008687,-0.9697801222456558,3343.6051911764207,-1.0086695365597176
