b,inside_signal,inside_norm,outside_signal,outside_norm
0.0,2751.0,1.0,7249.0,1.0
0.1,2591.4468601632097,0.9420017666896436,5949.808063673431,0.8207763917331261
0.2,2444.609667350038,0.8886258332788215,4888.744001991573,0.6744025385558798
0.3,2307.150126208573,0.838658715452044,4018.983567987377,0.5544190326924233
0.4,2175.3776913178444,0.7907588845212085,3293.0256896024366,0.4542730983035504
0.5,2067.5639943205733,0.7515681549693105,2714.392224128557,0.37445057582129354
0.6,1956.333141774157,0.7111352750905696,2226.91176178474,0.307202615779382
0.7,1837.7473612881276,0.6680288481599882,1812.582798177704,0.2500459095292736
0.8,1737.032701908781,0.6314186484582992,1489.384575936017,0.20546069470768616
0.9,1667.8097566102113,0.6062558184697242,1222.6638519733178,0.16866655427966862
1.0,1580.9494815101425,0.5746817453690085,1000.9871041844715,0.13808623316105276
